Address,amount
0xB1F2cdeC61db658F091671F5f199635aEF202CAC,717092667780887716256317
0x0000000000000000000000000000000000000000,88648906932943253268670
0x10d0A001EeDC62b2A483EB9DFA0bb021aC61d55b,21072076278778433388837
0xF8ce90c2710713552fb564869694B2505Bfc0846,19870619572037123702983
0x9aA8F427A17d6B0d91B6262989EdC7D45d6aEdf8,16397393658451885835092
0x99D4e927612B39B6A5858c1C7D77e2720650658d,13860057811781397909688
0x192E9d29D43db385063799BC239E772c3b6888F3,13555549561756222826640
0xDc03b4900Eff97d997f4B828ae0a45cd48C3b22d,11894524246379558444990
0x5921c191fe58175B1fb8943ED3F17345e615fF02,9704904977024514464781
0x091d8de14dC0db1C7266aFC1726880dc532Fb90c,6513212378252650346822
0x97137466Bc8018531795217f0EcC4Ba24Dcba5c1,6363383055074867008224
0x2E35392F4c36EBa7eCAFE4de34199b2373Af22ec,6088564924806616927709
0x4C8133051B300CCd66b6b35c5a0aF15b6A97012a,5334536659161962363746
0x99FD1378ca799ED6772Fe7bCDC9B30B389518962,3961994026517894499804
0x1eB47C01cfAb26D2346B449975b7BF20a34e0d45,3536480155881878297543
0x13e252Df0caFe34116cEc052177b7540aFc75F76,3471993731564473017471
0x3B984969B20c7c9db50fE0B7b893565BF25aF0db,3097562271893056641098
0x1FC432eB5e873A12E909Da65ad9E14be05F1139B,3067231901947278716867
0xEf63D10961Bb2056EDA3e10bD461381098cD1568,2689872123443280540990
0xE8b4eC3Cd3D21b35B4FE55AD987e50d3b72Ef11b,2554190564438709620994
0xB0ff496dF3860504ebdFF61590A13c1D810C97cc,2509458404168451194806
0x39c09fdc4E5C5AB72F6319dDbc2CAe40E67b2A60,2506937799088253044324
0xaA4bA008Dc503733c2999089F9Cf09ED10755F5e,2505461637695869805609
0x5921c191fe58175b1fb8943ed3f17345e615ff02,2458374313902887028095
0x4F76fF660dc5e37b098De28E6ec32978E4b5bEb6,2275827771647466706764
0x6daB3bCbFb336b29d06B9C793AEF7eaA57888922,2102371938126935685991
0xF55D84504217542D4F39d9bf9A70342744836007,1972125672860467616703
0x2d55e7A7ad0BaF140744aA3405708D285eE209f8,1967566031306133063230
