Address,amount
0x705350c4BcD35c9441419DdD5d2f097d7a55410F,111570693316311323121402
0x13C1542A468319688B89E323fe9A3Be3A90EBb27,67175130245515726601133
0x0000000000000000000000000000000000000000,52861501949294026633703
0x7Ff566E1d69DEfF32a7b244aE7276b9f90e9D0f6,18660770856559636058566
0x9E65Ad11b299CA0Abefc2799dDB6314Ef2d91080,12166813915943286708095
0x72d4d59f31d0cb4a4213a5dc81fc0108241ecc71,11700175000000000000000
0xF147b8125d2ef93FB6965Db97D6746952a133934,9656026399883493080038
0xfaaca6db387d3a2824ede72ddafa9857384c75ac,9350311937721018732804
0x17c4942503cd58afc19472686fb6d0ad08bb91cc,5659458800000000000000
0xe2a9c552a15698f9a1e2d81e73f7672568101b47,5471330120373090447322
0x5921c191fe58175b1fb8943ed3f17345e615ff02,5349573522524346508497
0x31095ae3be30469c6c21c513dd1470df174d164c,5165000000000283640000
0x97D4B02Ce33C399fFeC618Bfd2D5Bf7108e556ac,4094640972738385927392
0x5886E475e163f78CF63d6683AbC7fe8516d12081,3403319612311673559922
0x97897428c3bd23d1cadeffaf3bb11c61e2d0eb43,2452119194213205159341
0x483A47247d5cBd420A9c5d2838Ec89776ba8B56B,2223503323320382934298
0xab95d2cd70a80469985fafe7457de81498211ed4,2000008237052080207370
0xa5a663b7951dddff89b01194ee16f3af276051c1,2000000000000010000000
0x7A1848e7847F3f5FfB4d8e63BdB9569db535A4f0,1870038081444158864312
0x4C8133051B300CCd66b6b35c5a0aF15b6A97012a,1765893665735732935057
0xb93471A0a141c6f197886d4601E9Bac7F3f15D23,1672000040660266052595
0x23b4483b7c551efa8955c7e35f8a5e38c6f1fe4a,1211451200000000000000
0xb608595A1e190174363BC800860E44b0799d6D2C,1118757553208125987058
0xDc03b4900Eff97d997f4B828ae0a45cd48C3b22d,1083141930079598545521
0x4bF331Aa2BfB0869315fB81a350d109F4839f81b,782588072667393667522
0xEcDcB3731F722B250735EAa17587bAA3Ab97D877,760257632164495546602
0x9c57618bfCDfaE4cE8e49226Ca22A7837DE64A2d,760199929842249398016
0x3ec471e7637d93bc50a57cc63ed4e80d5b44a69b,735325109668989466277
0x4c3dc1ef9ddfb67fbb910ee839513cfcf3e3ecbc,675424195180883148100
0x4c8133051b300ccd66b6b35c5a0af15b6a97012a,493796587372414810033
0x419be08c752d3b01d28352260bd65bb282729db0,480000000000000000000
0xaF297deC752c909092A117A932A8cA4AaaFF9795,422578732050412929282
0x698bb6299824a053a9fa1e677d48ca44daa0a0c8,413390100000403770000
0xF55D84504217542D4F39d9bf9A70342744836007,411170797970856980374
0x4Da69e9904B7DCc9Ece22A4A563c2e2a52d3b586,406849856093998709764
0x22390a6c9b7aDA7F126Ca449B6EE263A3B2b1fED,374098783838371633504
0x73800459807528072a3b2ed217c1de72f28514f3,329670418645056651167
0x7813af493fac26f640bed5c3780b4217b318866c,300000000000000000000
0x28c303e257200402ae57d75e8618b6ed890b336b,297591732631399243804
0x28c303E257200402AE57d75e8618B6eD890b336b,297591732631399243804
0x7D7e74467f813Ea09b44fA43781F761EF6317751,269921170383256714936
0x018a82C70F689aeEDB05cbc55631c5cFA807A25C,263535919329300600779
0x1E5aeBcfdC780Da4Fb506e93a0b398490fD94864,247460329930571447148
0xA5d223c176daAB154a3134369D1C0478c5e6FecF,239845846276021303512
0xDe8589960DA34eeFB00Ca879D8CC12B11F52Cb12,237844175517090890106
0xC37E20177f8649e498dd67CcAb3069dA11a4B381,208040255442199815713
0xAC59f71c383De1EF94802676F72F1BAe3D7d3029,178621323447656720011
0x5D6437D2E2dFc55384055ceE5536448764a898B9,168310000000649168728
0xa7615cd307f323172331865181dc8b80a2834324,166978257913073334800
0xaf297dec752c909092a117a932a8ca4aaaff9795,165340902227126373676
0xecdcb3731f722b250735eaa17587baa3ab97d877,148241178525218485786
0xefd534f70261ce391138b7909a1df25bec9113c4,140000000000000000000
0xdfed7f8f6fe2f24a328c1ee2331d69e86c4457be,140000000000000000000
0xf55d84504217542d4f39d9bf9a70342744836007,136472777041525009895
0x549C0421c69Be943A2A60e76B19b4A801682cBD3,135669033551008115380
0x9D50a80609AAE214b8d6c34FbbD010A9D4769A76,134943118878929575116
0xE41914C347E06f4582bC776c0CdD1653d4c20394,126866790516294646632
0x059107Bbd521Ce3D48d7928b828dB0F9aDEF78d0,121986402640258860841
0xaD5C49Dc02646898c7B9771E4c20bd3203556E76,105970439823711376368
0x4a2b6651F8536275b47fc424D8c62667E11ADE8C,100771819455125305907
0xa0b343ab316cbd95075a8d9797732733de845852,100000000000000000000
0x45C2700a0b0e84FffFfC74dbe4Ca415BC940F93d,98826157441958272980
0x42D2184dac8580e6224b361A36CA3a917F7EA67b,95248620319084014836
0xD3A14617cC711300783392f3DF632DcfE74F0Cc8,95055684307751141537
0x30ED5773E9c1023A266483D7860a2B19fA4c736C,92809758183091321204
0x90A7998fdad2B8e77bFD6cb39862A433E118bd3C,92077269686636064527
0x1bfb75f5f1980c8cf0035acab3a6918a764239c1,90000000000000000000
0x9b5202eb6128f4c5240b87ae34676a85ce6a2aca,85615600000092900000
0x4e29B63A980C6e76F9f56EF123DA896f9F16ACe8,81908393793630945525
0x4E6A82Ac98E87c5aCF7738Fa57b5Fd9EA14Af932,80957822661100131021
0xCED9b36e8c38B0B536e0efc4Dac069a43f15cD48,79505284670942745450
0x8eb8a10ce58ac05273ff045669d41f8edaea811e,79015698573944346437
0x26fCbD3AFEbbE28D0A8684F790C48368D21665b5,77683372679018253614
0x8135908BbcB583D65978acCFe3Da6cA927185Eb1,77099147039232069957
0x22390a6c9b7ada7f126ca449b6ee263a3b2b1fed,77085832412348038519
0xe9b05dB21F255544721d0a58C1E9963d53D8BB95,75957816052868799010
0xB71CD2a879c8D887eA8d75155ff51116178641C0,71738942011380076530
0xde8589960da34eefb00ca879d8cc12b11f52cb12,69373663979765408489
0x9a82aA6eDbC473a883B8906Bf41084c9c1B760F2,69020997910268427537
0x39fe62a9915fAf4Ca974A4D3D568B4E01EE9Df40,65837058806735086755
0x3E868c4c49eDC6A14f8f581e20AaD5C4Ed6bFe62,64556854223278177733
0x09fc8cd1d422e77cef172ef85cda1953915a8b74,60000000000000000000
0x91963a58dAc80b0D4Bd0e2760E8f534172840033,59832580099566986100
0x1e81293567c0b2f4330a0a1a93e99ebdc3189a45,56000000000000000000
0x51aB3DBF9a5089a85E6e3e8252DF7C911078DD84,53717069913078769551
0x4f58985B75EeC8f14C536878A19EAdF4a1960D6c,52437735544423512054
0x1288e3daD9Deb275deb8793F5E206ab17BF11224,52368231507972611889
0xe0ed7F74AC548d02c0A96474016B1d5b6Bc8E502,51905018198257884619
0x32CcF7b92ED79bcf506b090F5f1b93c822fAC612,51543394315268772922
0xb267C8154f688fB301BCbe95c7B53A8C15CcFf30,51080008698592387775
0x9990590d649e8b8808a3a7a427e357995970806f,50000000000027990000
0xbc8D089824461048A06d300DFF88BB7357d88B3b,49574179782194324635
0x6479be2A6c7dEcD87c670286aFFa7789f6b3852E,47668179454557233009
0x9A2BC93D564C722fB79e73779BeDb79da810705D,45069271235538718832
0x66c7a7348250f453a37cf86410a946f9668de386,44783169695845592502
0x72dbB36793cbfc871ec3bcA152Ac345147D9DD0d,44656078057689756501
0xB5fC9EEf8f391051ECfC1c7d71D617181A56539B,44225917107790900801
0x056b06265eC44cC3f405472d7F1345177EA5532e,43110014911155898132
0xEeff6fd32DeaFe1a9d3258A51c7F952F9FF0B2Ce,42737647569981868766
0x4F1ed1DED2f4481fEf007e268CAef185E21CC680,42132062960677587336
0x71e979106d173683baf4e2b10d84b5cedfaa05e1,42000000000000000000
0x1bcee1a5ff65ce8f0fd736c92ff2dbd1327e1f23,41600000000000000000
0x4e6a82ac98e87c5acf7738fa57b5fd9ea14af932,40478911331100131021
0x4a2b6651f8536275b47fc424d8c62667e11ade8c,40449913002835155647
0x049DB5FfbdEEbd754554f183dBf8Be86b5b06215,40078022300153757081
0xdcee98fb28f22856187a4aea0b8f52dcdc4e9d68,40000000000000000000
0xd8f6b79df062a91c99574b0ef61d09dbde372a83,40000000000000000000
0x1a83b14796c2269f9696f66147EF441E096a3022,39866332570769099833
0x4974fdd567D544a9de0E167f094362c4cE5F396C,39818000240685632375
0xeda61B1e9f414889ddE0dbe83B3BaCF814A98E87,39769875908843354239
0xfCfa97356dA483CaE8227dFd9e08623E07eb9edA,39753192618024028796
0xced9b36e8c38b0b536e0efc4dac069a43f15cd48,39752642335471372725
0xb46660091553d40433e939eb94fABF26420BF2D5,39600000004713017951
0x6979B914f3A1d8C0fec2C1FD602f0e674cdf9862,39589294582769470417
0xb2392072a1769e07322a6ebe937400c7c111ff01,38900000000000000000
0x73800459807528072A3B2eD217c1De72F28514f3,38830700050471451951
0x1A12459B5d9d8f37038205079787F05495254545,38295280404393264739
0x2aE595eddb54f4234B10Cd31Fc00790e379fc6b1,37829313843024774987
0x9EacC45dF2869ee4a138191c4221922fDF760d27,37786508883805218960
0xf8C8D0C5547bD213b1DD281a4F61be9a9feED87B,37250578623640008423
0x9AcbB54d3D5ae1D8C9E490F94403eb8E9f3f0396,37017103786615467795
0x37d0117ba21ef8e15d433dfbed21f7d18b3ac622,36349000000000000000
0x18098Ab8a5B3584992dE76DcB831f8EE3D882c56,35667199114826987735
0xaf7b5d7f84b7dd6b960ac6adf2d763dd49686992,35000000000000000000
0xe8afd56a8b64a94d1a8fab76405bb9913540b70f,34798705712272376389
0xc37e20177f8649e498dd67ccab3069da11a4b381,34662716543250223749
0x44b01dbdc83e92ef70ed2a6104e29792ea0e0f47,33139566123224727468
0x11c3946dc1b186C2E8cdEbbAe4527B418a2395eE,33087812913418370375
0xa99f8656271bd54871639D7B1D20912263CC68E0,32695966128503626930
0x67C79fd475E4FBcaB1ecC8018A767DaD7172D976,32125368658529806485
0x310d2aD743AdA3b60395997c4A03617D73B5A74E,31743650854949284820
0x90a7998fdad2b8e77bfd6cb39862a433e118bd3c,30549742795912160453
0x93aa8C9A50EFa30Bb28cE0AD12516686c963472a,30386392825870578566
0x1012d2f5f74bd939e69689afea00984c1a8fc7d4,30300000000000000000
0x7b68b885367f411c1d7e7c036fedb547129a77bd,29722276386391339384
0x9A560C3ceBB3a8c0f28Efcc43f4D12e942F4eeD7,29615534243236899336
0x1D216b8706bE76f7906eB5872835Ce5567Fd2Ef5,29467685614368897206
0x63dDB0d7750aA11251330fEa651e2A7FA1db53Df,28759058257383436903
0x4d1Dcf15AcBC0b69aED7b0d87BDA5Cbc66C48184,28457548531136716625
0x4aa847ca6f4ff698e835464969ef9800e0b6d1ba,27750000000000000000
0x0d83702B523aDEF3F7cE0406677029A136421e1a,27547650086179669341
0xF2f3e23cB6c2c4BaC59cb9e6F42847880cCAc04B,26720997293542925582
0xf1ca4bf4c325c3078ec25299601a519ebc6bea6d,26425000000000000000
0x31A47094C6325D357c7331c621d6768Ba041916e,25863397655459556742
