Address,amount
0x5Bd87aDB554702E535aA74431DDa68Eaf9A8f548,72265324575
0xD22423F4bB7c25262BaB60C433949165b5c225F1,13141302025
0x2C18c9B00b4B3F5240c72513eDB778d6f7e2E65a,12526612878
0x81d80ae9d6670cd9ffd28812e2360535b1cec339,8750616730
0x202d0bec720743e0d41503e19b93298b0dad6531,7947762697
0xc55f141aCD72867B48133A86d281C4350Da5939b,7482274903
0xc717ea2debcb3b7a42d772dcae8de42e62db7a64,6201472345
0x63c410a066d5d12217b713ccac5f600a06ba45e6,4963489454
0xe53cCb6e9F6e6a03eFA398021771CB4CAf6855e6,4540327064
0xbc8D089824461048A06d300DFF88BB7357d88B3b,3986187187
0xa25a9b7c73158b3b34215925796ce6aa8100c13a,3478261764
0x4b296808F414Ab3775889fa2863E1d73f958A58e,3151766946
0x5c75671a0221516ab3171d1e11719451aeca141d,3092766710
0x65e2790674a2ebbad8947c4142c5ad941b6c145c,2976361651
0x578fd2367F31b62B6a32Ef21D2a3193d22C34FE9,1961860511
0x1aa52b5a49ff06273d97649f29d9adaa3f65a1a6,1772410020
0x99a145859d1ae9b43E7FdBa2a86B9fc00eaeABB5,1626634836
0x1447b49b636cb1fA24281efCD66Aaac44188e3BC,1400000000
0x04c47e17085dd06630aeddce35852f19ee1e3e56,1338073974
0x5964892ef205a973be509915e9c5c3922f41fae6,1330164151
0x51ccaaba3b7491b505f24c7100845e2caba113a6,1294884006
0xc5B4fe3f318ef718B9b26820691A06E6278EA823,1274997037
0x5C5A4AE893c4232A050b01a84E193e107Dd80CA2,1274797305
0x31e3195706ed3c1961674eaf26b5072ea5cee8b5,1266437046
0x6af5a382b2241Efff4B58764CA7109168f7a272e,1158123339
0x63f24e5171ec2c27542c5185e887DF5780060bA7,1104276130
0x97d89390a4b486da774953ea0799bbd30eba30aa,1099388463
0x17322daee8067ddf24f0f9ae0c72c9f8c743816d,1087617143
0xF85385347F56819C316939434d427d0c9537EDdc,1076591074
0x73D65F57c07fDAA8e6f7173907FDc935802BAc1A,1047245080
0x8360fa00625cF1ee8DAb3e3110d7Cc88Bd924467,1028056946
0x0e868ba1ad3246adb52eece63ac7d068db1d8a77,1004885494
0x217C552e79d6000bE33e3fb58091De2cD12bd474,1004000000
0x849F17c54D6dDA08162ef328131048d95B9b2c71,945000000
0x9B77A0EBe5c462A606237B90e5AB288E2FaeBac0,924318963
0x43F90F19501D1D98A3e3b38825DaE109fD844fae,923000000
0x578761f0a290ee9746a49276c3ceff79bc51b333,843946795
0x6d829034984f10540bd2c4d4014b60fd2e2035a8,829574344
0x72f5adc0a249ebc986f2070b799416188b31e41d,828818612
0x2c5f5030b8ce9ae2a082be729b7b6041e9212981,820636371
0x685182D07f9dAaB0fB868728d5d591c5872C92C7,816665675
0x977BcC40cd619cd57C22767D76D129E3049dA6dF,790114008
0xc371ba0Fef01d7BD82C79Ed1890d834277c3912e,782389721
0x6Ecc5E44af4223680eC1F054324C6a0D08F8dC4C,767118349
0x9eBAFf2192d2746FeC76561bdF72fd249d7a73ab,753035000
0xbA3b9A3EcF19E1139c78c4718D45fB99F7a838Cd,750907000
0xc873b2f1ee1a8f9a08590553e36f92ab67b32297,738153181
0xB70c8f93862647f9C3746178175Ff190F4Af8a77,705883910
0x65bfd0f51eafed0b05fcc784f7371acc7547768e,703246067
0x7a15866aFfD2149189Aa52EB8B40a8F9166441D9,699764000
0x7ff5526f2b01b6ef5e30eb6b0066642476ee01a1,685608009
0x3A730d09B4834382b16a6027510Cf7B70c6402Cc,670018947
0xc179124cbd07f3b4f0ce8c79fea5430c84e3d396,625686579
0xE950C23891E41E5bb3fe4a45DdE62752a4BBf9Fb,621384184
0x5B913FDff95e00Da50a65740576a3C189812A16F,602379733
0x9f2249027ea240f27d56fb6cc163eeb44833ab74,599973775
